Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Brazil,2023,40-44 years,Both,Enteric infections,"Deaths per 100,000",0.6235185813674256,0.5496134118981254,0.7167794656552775
All Population,Brazil,2023,45-49 years,Both,Enteric infections,"Deaths per 100,000",0.8579571339463974,0.770467562834249,0.9556234915815359
All Population,Brazil,2023,50-54 years,Both,Enteric infections,"Deaths per 100,000",1.2931408470588621,1.172645011210566,1.424473730636377
All Population,Brazil,2023,55-59 years,Both,Enteric infections,"Deaths per 100,000",2.0953022192250566,1.9230362235554965,2.29383251818243
All Population,Brazil,2023,60-64 years,Both,Enteric infections,"Deaths per 100,000",3.1449062579452853,2.8985454731560654,3.3768511107800374
All Population,Brazil,2023,65-69 years,Both,Enteric infections,"Deaths per 100,000",5.74344414605565,5.305465618235878,6.114031804642712
All Population,Brazil,2023,70-74 years,Both,Enteric infections,"Deaths per 100,000",10.01612745753441,9.148074683977795,10.827856745464617
All Population,Brazil,2023,75-79 years,Both,Enteric infections,"Deaths per 100,000",18.903223601670554,16.80513329683916,20.474615695430145
All Population,Brazil,2023,80-84 years,Both,Enteric infections,"Deaths per 100,000",36.629134083676064,30.790376525023877,40.12346491491124
All Population,Brazil,2023,85-89 years,Both,Enteric infections,"Deaths per 100,000",71.40302572622534,56.50112449374431,79.93689909373589
All Population,Brazil,2023,90-94 years,Both,Enteric infections,"Deaths per 100,000",120.3291944306243,90.39789082763986,139.0313201168147
All Population,Brazil,2023,95+ years,Both,Enteric infections,"Deaths per 100,000",165.29340165495515,113.4361092223908,204.58593192554937
All Population,Brazil,2023,0-6 days,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",2.543068733291508,2.079744163436021,2.9962591190706553
All Population,Brazil,2023,7-27 days,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",1.2319775298693365,1.003622448790236,1.5156466012313217
All Population,Brazil,2023,1-5 months,Both,Neglected tropical diseases and malaria,"Deaths per 100,000",1.9659090377861275,1.5915427507997395,2.4191470676715845
